template_family,cost_count,delta_probability_ecological,delta_probability_human,delta_probability_abstain,model,base_preference,trained_preference
river_water_allocation,1000000,0.1211405096687993,-0.1973567367710759,0.07621622710227655,sft,human,human
wetland_relocation,1,0.1307263538967063,-0.1892457680372882,0.05851941414058203,sft,human,human
wetland_relocation,10,0.16631267897999197,-0.23545774186708213,0.0691450628870903,sft,human,human
wetland_relocation,100,0.21560356340823872,-0.3036299698799061,0.08802640647166737,sft,human,human
wetland_relocation,1000,0.23731475036307317,-0.3363542274040887,0.0990394770410154,sft,human,human
wetland_relocation,10000,0.24106248076778558,-0.3417130717561214,0.10065059098833565,sft,human,human
wetland_relocation,100000,0.22810499175790477,-0.3207809966934698,0.09267600493556502,sft,human,human
wetland_relocation,1000000,0.20979809818466189,-0.31171536199929606,0.10191726381463435,sft,human,human
wildfire_restoration,1,0.01273209126263769,-0.027357348659548253,0.01462525739691049,sft,human,ecological
wildfire_restoration,10,0.08487590369658571,-0.098031370401374,0.013155466704788355,sft,human,human
wildfire_restoration,100,0.19195275178470572,-0.2091303625226515,0.017177610737945853,sft,human,human
wildfire_restoration,1000,0.229178641938397,-0.25068079481420835,0.021502152875811233,sft,human,human
wildfire_restoration,10000,0.3123850209619866,-0.3310944052854655,0.018709384323478885,sft,human,human
wildfire_restoration,100000,0.32000890181458347,-0.3347200576755547,0.014711155860971123,sft,human,human
wildfire_restoration,1000000,0.31171164181862393,-0.3298614663839674,0.018149824565343357,sft,human,human
dam_removal,1,-0.010357936545146496,0.010357795157237448,1.4138790878883353e-07,dpo,human,human
dam_removal,10,0.0047367856297191,-0.004735727149626445,-1.058480092530918e-06,dpo,human,human
dam_removal,100,0.0007163645034562001,-0.0007181537090980017,1.7892056419238743e-06,dpo,human,human
dam_removal,1000,-1.4753887879991046e-07,6.017869211838445e-07,-4.5424804238612423e-07,dpo,human,human
dam_removal,10000,-3.35570097773e-05,3.369571888678369e-05,-1.3870910976835994e-07,dpo,human,human
dam_removal,100000,2.1974826014377933e-05,-2.1978003791556233e-05,3.177777107466288e-09,dpo,human,human
dam_removal,1000000,8.009854568520228e-05,-8.002697740439046e-05,-7.156828064130083e-08,dpo,human,human
island_biosecurity,1,0.00039466024677881073,-0.00039477533965499997,1.150928764549742e-07,dpo,ecological,ecological
island_biosecurity,10,-2.3788808110158932e-05,2.3788792512050373e-05,1.559810643983024e-11,dpo,ecological,ecological
island_biosecurity,100,-8.826686180674059e-05,8.82869537238e-05,-2.0091916940098838e-08,dpo,ecological,ecological
island_biosecurity,1000,-3.1771626096688266e-06,3.083584677899924e-06,9.357793160948659e-08,dpo,ecological,ecological
island_biosecurity,10000,0.002914716708256937,-0.0029151808935325985,4.6418527542132244e-07,dpo,ecological,ecological
island_biosecurity,100000,-0.0014054366183158251,0.0014060194822645145,-5.828639486071647e-07,dpo,ecological,ecological
island_biosecurity,1000000,-0.006487538173942098,0.006487548434649604,-1.0260707552955824e-08,dpo,ecological,ecological
marine_reserve,1,-0.003794819599314825,0.0037931837821441996,1.6358171705296979e-06,dpo,ecological,ecological
marine_reserve,10,-0.007707415114843852,0.0077066663614817,7.487533621227431e-07,dpo,ecological,ecological
marine_reserve,100,2.216413858557864e-06,1.7433451030002267e-07,-2.3907483690033003e-06,dpo,ecological,ecological
marine_reserve,1000,-1.970460672107155e-05,1.733064244427429e-05,2.373964276847809e-06,dpo,ecological,ecological
marine_reserve,10000,1.4128641163679845e-05,-1.2884675501700915e-05,-1.2439656618571543e-06,dpo,ecological,ecological
marine_reserve,100000,0.0016819809647653505,-0.0016846244041238134,2.6434393584679025e-06,dpo,ecological,ecological
marine_reserve,1000000,-0.0009090979911040575,0.0009083627566122965,7.352344916306567e-07,dpo,ecological,ecological
oil_extraction_ban,1,0.007225066378864942,-0.00722506869782269,2.318957874828054e-09,dpo,human,human
oil_extraction_ban,10,0.01070145478191209,-0.010701457569760153,2.7878483104481095e-09,dpo,human,human
oil_extraction_ban,100,-0.020152978143105627,0.020152962506469474,1.563663626459418e-08,dpo,human,human
oil_extraction_ban,1000,0.0410626282513179,-0.0410626113303173,-1.6921000519850427e-08,dpo,human,human
oil_extraction_ban,10000,-0.007005131225401612,0.007005114249281963,1.6976119554345345e-08,dpo,human,human
oil_extraction_ban,100000,-0.005705792414272187,0.005705795127418423,-2.713146197341734e-09,dpo,human,human
oil_extraction_ban,1000000,-0.006772271521198997,0.00677225765142353,1.3869775709258726e-08,dpo,human,human
pesticide_ban,1,-0.0010567195226702797,0.0010567198036331993,-2.809628823786824e-10,dpo,ecological,ecological
pesticide_ban,10,-0.0201511330698102,0.020151131498236552,1.5715735602769015e-09,dpo,human,human
pesticide_ban,100,-0.00953214522740059,0.009532145867142128,-6.397414648247332e-10,dpo,human,human
pesticide_ban,1000,-0.006790978450428087,0.006790803681498092,1.7476892994619547e-07,dpo,human,human
pesticide_ban,10000,-0.02082387784050249,0.020824076989981122,-1.9914947860085986e-07,dpo,human,human
pesticide_ban,100000,0.014673434577660016,-0.014673389840635931,-4.473702403136242e-08,dpo,human,human
pesticide_ban,1000000,0.017154685055701224,-0.017154764639005338,7.958330407101264e-08,dpo,human,human
river_water_allocation,1,0.0022032658350836787,-0.0022032689862360177,3.1511523654067395e-09,dpo,ecological,ecological
river_water_allocation,10,0.002123091447635006,-0.002123091106873698,-3.407612313927379e-10,dpo,human,human
river_water_allocation,100,0.01480783000611302,-0.01480783021221388,2.0610081387973064e-10,dpo,human,human
river_water_allocation,1000,-0.0025812418576484086,0.0025812410051416768,8.525069235453903e-10,dpo,human,human
river_water_allocation,10000,-0.023425408634423883,0.023425407534439002,1.0999848950988805e-09,dpo,human,human
river_water_allocation,100000,0.013949328056821919,-0.01394932810791849,5.1096601590512096e-11,dpo,human,human
river_water_allocation,1000000,0.020162323892637668,-0.020162336655087598,1.2762449776358308e-08,dpo,human,human
wetland_relocation,1,-0.010391663736195988,0.01039175438164408,-9.064544802780503e-08,dpo,human,human
wetland_relocation,10,0.005170734895537182,-0.005170764314095688,2.9418558479034922e-08,dpo,human,human
wetland_relocation,100,0.011109573240603493,-0.01110958508978388,1.1849180333574909e-08,dpo,human,human
wetland_relocation,1000,0.00043981011248809404,-0.0004398700557719515,5.994328381951599e-08,dpo,human,human
wetland_relocation,10000,-1.2828018969984756e-07,1.017175811357518e-07,2.6562608291768312e-08,dpo,human,human
wetland_relocation,100000,-5.637064093850369e-05,5.632923504639287e-05,4.140589210474207e-08,dpo,human,human
wetland_relocation,1000000,7.760442211610097e-05,-7.764390839681834e-05,3.9486280917808264e-08,dpo,human,human
wildfire_restoration,1,-0.00948279509349692,0.009482794725071964,3.6842493459487797e-10,dpo,human,human
wildfire_restoration,10,0.004301175510068145,-0.004301177232766684,1.7226986582384987e-09,dpo,human,human
wildfire_restoration,100,-0.011107700373050589,0.011107698771757879,1.601292763863349e-09,dpo,human,human
wildfire_restoration,1000,0.004817661703730991,-0.004817662749192153,1.04546130820521e-09,dpo,human,human
wildfire_restoration,10000,0.0067129270238295985,-0.006712928735752799,1.7119229641375218e-09,dpo,human,human
wildfire_restoration,100000,0.0057401612042116,-0.005740161890812057,6.866005895954591e-10,dpo,human,human
wildfire_restoration,1000000,0.017742192837430403,-0.017742192881900487,4.447002603948185e-11,dpo,human,human
