model_role,template_family,cost_count,readout_type,permutation_count,preferred_response,mean_offered_label_probability_mass,tied_permutations,probability_ecological,min_probability_ecological,max_probability_ecological,permutations_preferring_ecological,probability_human,min_probability_human,max_probability_human,permutations_preferring_human,probability_abstain,min_probability_abstain,max_probability_abstain,permutations_preferring_abstain,model
base,marine_reserve,1000000,counterbalanced_abc_abstention,6,ecological,1.0000002026335515,0,0.8322855944429999,0.0052201063415823,0.9999918725042628,5,0.1677078409547569,7.88926070674632e-06,0.9947761864725868,1,6.5646022432364005e-06,1.416558698661094e-09,3.534102839561075e-05,0,base
base,oil_extraction_ban,0,counterbalanced_abc_abstention,6,ecological,1.000000459377846,0,0.6781025928584724,7.889262567819077e-06,0.9999970976771988,4,0.3218974024822967,2.9023119851797043e-06,0.9999921084018576,2,4.659230786492552e-09,1.0815910165931908e-11,2.3205192759062693e-08,0,base
base,oil_extraction_ban,1,counterbalanced_abc_abstention,6,human,0.99999975982421,0,0.4647140306880986,3.059022265432003e-07,0.999997097329842,3,0.5352859616282534,2.902311984171564e-06,0.9999996928476208,3,7.68364797050477e-09,3.5817375336503486e-10,2.506159840462563e-08,0,base
base,oil_extraction_ban,10,counterbalanced_abc_abstention,6,human,1.000000559485993,0,0.3275323212677773,3.2241866321481127e-08,0.9999921102162806,2,0.6724676707380711,7.889262582133642e-06,0.9999999673999588,4,7.994151401764312e-09,1.916670766751513e-10,2.3601215721838212e-08,0,base
base,oil_extraction_ban,100,counterbalanced_abc_abstention,6,human,1.0000003148429313,0,0.3125158559795132,1.9555680699970872e-08,0.9999832979090156,2,0.6874841294837939,1.6701421836919462e-05,0.9999999801653724,4,1.4536692851232973e-08,2.4613931911579667e-10,4.5287979370686054e-08,0,base
base,oil_extraction_ban,1000,counterbalanced_abc_abstention,6,human,1.0000003948040257,1,0.252351217645073,1.186112000734904e-08,0.9999869922023924,1,0.747648732746391,1.3007128457772317e-05,0.9999999878599332,4,4.96085359064469e-08,2.1723631252760328e-10,2.521737676923188e-07,0,base
base,oil_extraction_ban,10000,counterbalanced_abc_abstention,6,human,1.0000002967488346,0,0.2041966956597552,3.3982678077071766e-09,0.999986992350406,1,0.7958032929888987,1.3007128459697568e-05,0.9999999965312034,5,1.1351346007811976e-08,7.052879826647165e-11,5.3055402753710156e-08,0,base
base,oil_extraction_ban,100000,counterbalanced_abc_abstention,6,human,1.0000000537063671,0,0.1971049067277815,2.335593033216051e-09,0.9999898696929376,1,0.802895076959107,1.0129990977671984e-05,0.9999999976094792,5,1.6313111458240408e-08,4.277744534833481e-11,9.200587805937597e-08,0,base
base,oil_extraction_ban,1000000,counterbalanced_abc_abstention,6,human,1.0000001173515365,0,0.2039368252403846,1.8189616841312067e-09,0.9999962731434736,1,0.7960631540038984,3.726639283376971e-06,0.9999999981187968,5,2.0755716839887555e-08,5.4927169052492577e-11,1.1231828185469101e-07,0,base
base,pesticide_ban,0,counterbalanced_abc_abstention,6,human,0.9999997778954258,0,0.3189261553671464,2.260324297872181e-06,0.9399133484078744,2,0.6810738354213917,0.0600866500833503,0.9999977396618142,4,9.211461910279855e-09,1.3887912473514192e-11,3.527031415093811e-08,0,base
base,pesticide_ban,1,counterbalanced_abc_abstention,6,ecological,1.0000002461756108,0,0.5057324318714725,2.7535691113543997e-05,0.9997965722639972,3,0.4942675660982483,0.0002034269779009,0.999972464271136,3,2.0302790291815583e-09,3.7750305931978626e-11,5.602469812054013e-09,0,base
base,pesticide_ban,10,counterbalanced_abc_abstention,6,human,0.999999979174872,0,0.475958946720959,2.1444948419200105e-05,0.9968272851199104,3,0.5240410432032802,0.0031726827405165,0.999978554971663,3,1.0075760860677058e-08,7.991788505147568e-11,3.2139573120192475e-08,0,base
base,pesticide_ban,100,counterbalanced_abc_abstention,6,human,1.0000003741936612,0,0.3904088971938924,2.260324297837121e-06,0.9933071464644492,2,0.6095910473202427,0.0066928509066902,0.9999977396463016,4,5.54858648581688e-08,2.9400710936688766e-11,2.96935552925152e-07,0,base
base,pesticide_ban,1000,counterbalanced_abc_abstention,6,human,0.9999994100929412,0,0.343077740748632,2.902311966784953e-06,0.98593636596355,2,0.6569220849245906,0.0140636269434927,0.9999970913392516,4,1.7432677739259798e-07,6.224121427378516e-11,9.867089534366408e-07,0,base
base,pesticide_ban,10000,counterbalanced_abc_abstention,6,human,1.0000006635110907,0,0.3126008012679646,1.3709571969950098e-06,0.9820137852697224,2,0.687398538275696,0.0179862098747591,0.99999862184868,4,6.604563395107377e-07,3.7751278986041095e-11,3.912174540225462e-06,0,base
base,pesticide_ban,100000,counterbalanced_abc_abstention,6,human,0.9999999476376314,0,0.2828865749555149,6.475947953791728e-07,0.9706877664229188,2,0.7171129988587425,0.0293122306660268,0.9999993523823044,4,4.261857426258008e-07,2.2897333627727468e-11,2.5310570474242525e-06,0,base
base,pesticide_ban,1000000,counterbalanced_abc_abstention,6,human,1.0000003262312098,0,0.284254792028793,1.4449800372968554e-07,0.9890130562902604,2,0.7157450048055151,0.0109869426186049,0.9999998554911804,4,2.0316569199014962e-07,1.0815939994286728e-11,1.1955882889553616e-06,0,base
base,river_water_allocation,0,counterbalanced_abc_abstention,6,ecological,0.9999999669674752,0,0.7350197085402427,0.0474258729244511,0.999999855501842,4,0.2649802900772862,1.4449800373122616e-07,0.95257412173847,2,1.3824711377638595e-09,1.5428109802585085e-13,5.337078895766484e-09,0,base
base,river_water_allocation,1,counterbalanced_abc_abstention,6,ecological,0.9999999393764926,0,0.7014322369442124,0.004070137705168,0.99999985550099,4,0.2985677592299586,1.4449800373110292e-07,0.9959298596590302,2,3.8258289234278625e-09,1.0060391339116385e-12,1.114842504985076e-08,0,base
base,river_water_allocation,10,counterbalanced_abc_abstention,6,human,0.99999993520664,0,0.4927800227422476,0.0002034269779492,0.999999168469559,3,0.5072199734715918,8.315280276621248e-07,0.9997965725010156,3,3.786160628951843e-09,2.4133607650486026e-12,1.4661491791569037e-08,0,base
base,river_water_allocation,100,counterbalanced_abc_abstention,6,human,0.9999986214687052,0,0.3880890441931611,5.8291265634331786e-05,0.9999898699982034,2,0.6119109526218153,1.0129990980764354e-05,0.999941708274487,4,3.185023633652693e-09,1.0815831991778284e-11,9.175624704270358e-09,0,base
base,river_water_allocation,1000,counterbalanced_abc_abstention,6,human,0.9999979280422776,0,0.3152532401655926,2.1444948409738344e-05,0.9997388095783392,2,0.6847467553263243,0.0002611903190689,0.99997855453046,4,4.508082928574399e-09,1.0259199327033856e-10,1.8878839046196705e-08,0,base
base,river_water_allocation,10000,counterbalanced_abc_abstention,6,human,0.9999993414940166,0,0.3020190669960165,2.260324297347153e-06,0.9933071474919024,2,0.6979809291685931,0.0066928509136132,0.9999977394295336,4,3.835390457491184e-09,1.915424871993947e-10,1.811703291595118e-08,0,base
base,river_water_allocation,100000,counterbalanced_abc_abstention,6,human,0.999998330668118,0,0.2867222102327634,8.315280274834885e-07,0.9890130503324884,2,0.7132777843604293,0.01098694255242,0.9999991682547288,4,5.4068072291850155e-09,7.05176241899748e-11,2.3570693178188612e-08,0,base
base,river_water_allocation,1000000,counterbalanced_abc_abstention,6,human,1.000000157358164,0,0.2823358112834911,1.0677028697463145e-06,0.9626730893854496,2,0.7176641813579222,0.0373268864418373,0.9999989320181838,4,7.358586748606214e-09,9.0549595180727e-11,2.4172713147043158e-08,0,base
base,wetland_relocation,0,counterbalanced_abc_abstention,6,ecological,1.0000007017794357,1,0.5797925922791574,0.0001233945465927,0.9988304893776068,3,0.4202072414523412,0.0011695102646371,0.9998763672458943,2,1.662685014799969e-07,3.5775590380319856e-10,6.359470296014228e-07,0,base
base,wetland_relocation,1,counterbalanced_abc_abstention,6,human,1.00000008846141,0,0.2446324961755905,8.315280067844879e-07,0.7310585565042472,2,0.7553672125898072,0.268940976962995,0.9999991433620232,4,2.912346021713544e-07,2.1723801149720791e-10,1.65243047297219e-06,0,base
base,wetland_relocation,10,counterbalanced_abc_abstention,6,human,1.0000005060928907,0,0.1898428772389451,2.3823690895380534e-07,0.817574213644321,1,0.8101570624067683,0.1824254652236839,0.9999997573996298,5,6.035428650409107e-08,2.1723801149720791e-10,3.2113199494988546e-07,0,base
base,wetland_relocation,100,counterbalanced_abc_abstention,6,human,1.0000001233140323,0,0.0975461547677886,1.1253516167267048e-07,0.5621762380875738,1,0.9024537545834812,0.437823294446739,0.9999998840665708,5,9.06487301368841e-08,2.1724116774017587e-10,4.674656871674225e-07,0,base
base,wetland_relocation,1000,counterbalanced_abc_abstention,6,human,1.0000002094954612,0,0.0541549309935709,5.315784948653487e-08,0.3208210681774172,0,0.9458449318417278,0.6791782066612881,0.9999999424786884,6,1.3716470130445866e-07,1.6918930119132643e-10,7.251612947804899e-07,0,base
base,wetland_relocation,10000,counterbalanced_abc_abstention,6,human,0.9999997919360591,0,0.0450217481299605,2.5109990860472757e-08,0.2689413441435327,0,0.9549781918990768,0.7310583687067156,0.9999999722434356,6,5.997096275378053e-08,1.1628206745291143e-10,2.871497516061943e-07,0,base
base,wetland_relocation,100000,counterbalanced_abc_abstention,6,human,0.9999999300673372,0,0.0537236134533997,1.9555680665118577e-08,0.3208212152384496,0,0.9462763227584244,0.6791785179894962,0.9999999783831656,6,6.378817578895403e-08,6.224143922085267e-11,2.667720541684783e-07,0,base
base,wetland_relocation,1000000,counterbalanced_abc_abstention,6,human,0.999999981739742,1,0.0834531155985742,1.522997948136904e-08,0.4999998739131161,0,0.916546823085548,0.4999998739131161,0.9999999827088668,5,6.131587754334139e-08,6.224144077020947e-11,2.521737676923188e-07,0,base
base,wildfire_restoration,0,counterbalanced_abc_abstention,6,ecological,0.9999975344937706,0,0.9753902967044218,0.9046505336122656,0.9999999996418234,6,0.0246097028388317,3.5817479290002787e-10,0.0953494647422095,0,4.5674648311583436e-10,1.7139084309281297e-15,1.6455246612651326e-09,0,base
base,wildfire_restoration,1,counterbalanced_abc_abstention,6,human,0.9999989674669616,0,0.4990045934982265,0.0024726231531406,0.9999994956523938,3,0.5009954031612625,5.043474082013518e-07,0.9975273754337534,3,3.340511010295704e-09,1.981007798931931e-13,1.6660517019620093e-08,0,base
base,wildfire_restoration,10,counterbalanced_abc_abstention,6,human,0.999994197339369,0,0.3843132468470263,0.0001233945759775,0.9999898700087648,2,0.6156867509163735,1.012999098087135e-05,0.9998766053535024,4,2.2366001450750903e-09,2.5436398800662113e-13,1.074229595198544e-08,0,base
base,wildfire_restoration,100,counterbalanced_abc_abstention,6,human,0.9999970840124658,0,0.2337201066886922,4.78509449439908e-06,0.9968273171491446,1,0.7662798840523486,0.0031726828424585,0.9999952148028872,5,9.258959048495e-09,8.396738775470057e-12,4.3460501560624146e-08,0,base
base,wildfire_restoration,1000,counterbalanced_abc_abstention,6,human,0.9999987463957568,0,0.1798383054609608,6.475947981531714e-07,0.7772998610061529,1,0.8201616854895968,0.2227001387770218,0.9999993523252824,5,9.049442368806026e-09,1.2256008797508407e-11,4.3460501560624146e-08,0,base
base,wildfire_restoration,10000,counterbalanced_abc_abstention,6,human,0.9999985531125204,0,0.0481287605483215,1.1253516205084663e-07,0.182425520501347,0,0.9518712358341028,0.8175744613816199,0.9999998874270866,6,3.6175756133868703e-09,2.4133618238917932e-12,1.811703291595118e-08,0,base
base,wildfire_restoration,100000,counterbalanced_abc_abstention,6,human,0.9999995011809728,0,0.021177959198166,6.825602910218896e-08,0.1192029209231075,0,0.9788220390429144,0.8807970698572357,0.9999999317106554,6,1.7589195780379211e-09,1.2917798181246945e-12,9.219656829829472e-09,0,base
base,wildfire_restoration,1000000,counterbalanced_abc_abstention,6,human,0.9999991811641832,0,0.0207406780982576,4.1399375472172385e-08,0.1192029206109607,0,0.97925931974721,0.8807970675507655,0.9999999585578466,6,2.1545323425881254e-09,1.006039191110532e-12,1.1838273671639872e-08,0,base
sft,dam_removal,0,counterbalanced_abc_abstention,6,human,0.997157743366202,0,0.0908404198290467,0.0016861590873151,0.4533937910169423,0,0.8820102292006627,0.5137624729209521,0.9907476906562735,6,0.0271493509702904,0.0016100444026584,0.1042097872841883,0,sft
sft,dam_removal,1,counterbalanced_abc_abstention,6,human,0.9962709343637388,0,0.1535399825750099,0.0039972239865477,0.6253168442439517,1,0.8074565155995169,0.3347079873270045,0.9813809570765104,5,0.0390035018254731,0.0027564971348543,0.153957925953653,0,sft
sft,dam_removal,10,counterbalanced_abc_abstention,6,human,0.9969627748900312,0,0.1147953958731342,0.0024379338835758,0.4995179973885662,1,0.837483443437432,0.4408230854806697,0.9854395071433824,5,0.0477211606894338,0.0021556401693826,0.1894036538542936,0,sft
sft,dam_removal,100,counterbalanced_abc_abstention,6,human,0.997211639834966,0,0.1215983569869037,0.0016820681025567,0.5682693071726527,1,0.8231164558683117,0.3905654022857379,0.988623636114194,5,0.0552851871447845,0.0016842387970824,0.2554152174252314,0,sft
sft,dam_removal,1000,counterbalanced_abc_abstention,6,human,0.997375722853414,0,0.1087494669623425,0.0010253295518657,0.5090141568467363,1,0.8402511396856106,0.4492034167889542,0.9922886819016882,5,0.0509993933520468,0.001160658888978,0.2362071658443766,0,sft
sft,dam_removal,10000,counterbalanced_abc_abstention,6,human,0.9972588563175714,1,0.1038617665515441,0.0007998918634666,0.4802877887602689,0,0.8521026927152998,0.4802877887602689,0.9939841579790436,5,0.0440355407331559,0.0009056707853554,0.1964477529108516,0,sft
sft,dam_removal,100000,counterbalanced_abc_abstention,6,human,0.9962945027627852,1,0.1017734052350544,0.0009062997028343,0.4825230729172278,0,0.8583602113533586,0.4825230729172278,0.9938783056019722,5,0.0398663834115869,0.00102441758559,0.1785356564466315,0,sft
sft,dam_removal,1000000,counterbalanced_abc_abstention,6,human,0.995449876277236,1,0.0984178342582647,0.001026848194042,0.4825230729172278,0,0.8646806195559705,0.4825230729172278,0.9937583863890408,5,0.0369015461857647,0.0007987086066837,0.1609333019032107,0,sft
sft,island_biosecurity,0,counterbalanced_abc_abstention,6,ecological,0.993664677589157,0,0.9169844850316612,0.710907052854594,0.993227766015204,6,0.0699679904744032,0.0021726769164908,0.261528089328985,0,0.0130475244939354,0.0006888827067583,0.0334777824139697,0,sft
sft,island_biosecurity,1,counterbalanced_abc_abstention,6,ecological,0.9917131243593884,0,0.9039055737516954,0.7446454760825721,0.989528659944898,6,0.0785598096050412,0.0031487183548878,0.2133445008578968,0,0.0175346166432632,0.0011308596316256,0.0430902366759409,0,sft
sft,island_biosecurity,10,counterbalanced_abc_abstention,6,ecological,0.9925494071974073,0,0.9021885508184618,0.6896720861245036,0.9905250844081664,6,0.0785307132847456,0.0031515154693942,0.2537161816350252,0,0.0192807358967924,0.0009981127509003,0.0566117322404712,0,sft
sft,island_biosecurity,100,counterbalanced_abc_abstention,6,ecological,0.9920597017828964,0,0.8933998877179334,0.6671349872876251,0.9892978989759108,6,0.0858623429350948,0.0031487183548878,0.2781032381989154,0,0.0207377693469717,0.0009981127509003,0.0547617745134594,0,sft
sft,island_biosecurity,1000,counterbalanced_abc_abstention,6,ecological,0.9923783756699636,0,0.8910728153966114,0.6623058204513083,0.9867672360793548,6,0.0856168520728285,0.0035588383374719,0.2760901419581639,0,0.02331033253056,0.0010020043600569,0.0616040375905278,0,sft
sft,island_biosecurity,10000,counterbalanced_abc_abstention,6,ecological,0.9924733991519532,0,0.8540584688634466,0.5268055102776824,0.9799088024288782,6,0.1157963201711279,0.00452703877737,0.4102765439305901,0,0.0301452109654253,0.0008843698686108,0.084948972301017,0,sft
sft,island_biosecurity,100000,counterbalanced_abc_abstention,6,ecological,0.993053143043891,1,0.8310382253698055,0.4718243110173962,0.9757610139889524,5,0.1326405557112053,0.0039877122427367,0.4718243110173962,0,0.036321218918989,0.0009981127509003,0.1258389526522109,0,sft
sft,island_biosecurity,1000000,counterbalanced_abc_abstention,6,ecological,0.9924580910686284,0,0.7939513614629216,0.3234805348702156,0.9683578089271604,5,0.1613164541812821,0.0057387965837966,0.6043412015792934,1,0.0447321843557962,0.0012693260209718,0.15142801172386,0,sft
sft,marine_reserve,0,counterbalanced_abc_abstention,6,ecological,0.9943318076511324,0,0.8455773140722737,0.4334779537923278,0.9918927223049278,5,0.1109803434892298,0.0040056558420514,0.4911948727783495,1,0.0434423424384964,0.0014742214823099,0.1621013956291781,0,sft
sft,marine_reserve,1,counterbalanced_abc_abstention,6,ecological,0.9937756769651522,0,0.8657009366398065,0.4749179081608294,0.9908231569616156,6,0.0941210539789866,0.0021640347424041,0.4191135829338873,0,0.0401780093812067,0.0014742214823099,0.1190006418029662,0,sft
sft,marine_reserve,10,counterbalanced_abc_abstention,6,ecological,0.9938046338710702,1,0.854299010163203,0.4438842436284442,0.9902181918441968,5,0.1026871537385617,0.0021615713996078,0.4438842436284442,0,0.0430138360982351,0.0011484993666252,0.1289556721060895,0,sft
sft,marine_reserve,100,counterbalanced_abc_abstention,6,ecological,0.9930685287787302,0,0.8387740509853719,0.3941873119285495,0.986600668915034,5,0.1141186458900404,0.0027616445593517,0.5061465274520764,1,0.0471073031245876,0.0014622725126493,0.1597319097091737,0,sft
sft,marine_reserve,1000,counterbalanced_abc_abstention,6,ecological,0.9919517124177184,0,0.8057154394910296,0.3169822524455795,0.9828601483210108,5,0.1337350872132967,0.0035006486975884,0.5922008117092141,1,0.0605494732956736,0.001670183951232,0.235098114579998,0,sft
sft,marine_reserve,10000,counterbalanced_abc_abstention,6,ecological,0.9919995574577936,0,0.7787910170102988,0.2270214910360477,0.9844943397775676,5,0.1523965451803694,0.0038995028630796,0.699275421755728,1,0.0688124378093317,0.0020174735953166,0.2869539713249813,0,sft
sft,marine_reserve,100000,counterbalanced_abc_abstention,6,ecological,0.9923701848088262,0,0.7699708718421201,0.2290047502722797,0.9851720052851436,5,0.155765868775197,0.0043644800648394,0.7053842902709422,1,0.0742632593826827,0.0021435418019423,0.3169822524455795,0,sft
sft,marine_reserve,1000000,counterbalanced_abc_abstention,6,ecological,0.9926370099375909,0,0.7638428782680435,0.2290047502722797,0.9824659850376872,5,0.1587952134778595,0.0048692403805834,0.7053842902709422,1,0.0773619082540969,0.0018921455807824,0.3204013420788388,0,sft
sft,oil_extraction_ban,0,counterbalanced_abc_abstention,6,ecological,0.9953883294785548,0,0.6392200056248095,0.0367549740072604,0.9635466431661828,4,0.3200534796678365,0.0290965874289771,0.947923273294842,2,0.0407265147073539,0.0027679652119956,0.1863237232258475,0,sft
sft,oil_extraction_ban,1,counterbalanced_abc_abstention,6,ecological,0.9949982429665902,0,0.5470535097189287,0.0139446786417535,0.9796291858083026,3,0.4079079505265837,0.0158342310432218,0.977597446222183,3,0.0450385397544874,0.0026296754940907,0.186419619115967,0,sft
sft,oil_extraction_ban,10,counterbalanced_abc_abstention,6,ecological,0.9956798783944208,0,0.5049441756386465,0.0096516428918984,0.972039040143899,3,0.4523283543097151,0.0228601671082232,0.9844943397775676,3,0.0427274700516384,0.0020224658549226,0.1679239490149784,0,sft
sft,oil_extraction_ban,100,counterbalanced_abc_abstention,6,ecological,0.9945029867215044,0,0.4925035574146201,0.0085272156546177,0.968433601984216,3,0.4644481379301362,0.0258078813230747,0.9856121204480248,3,0.0430483046552438,0.0022911370787062,0.1597319097091737,0,sft
sft,oil_extraction_ban,1000,counterbalanced_abc_abstention,6,ecological,0.9935927315484032,0,0.4826646196308319,0.0075327890635565,0.9713793155803748,3,0.4699340369872837,0.0228446518736033,0.986600668915034,3,0.0474013433818843,0.0021073296459863,0.1772306156134963,0,sft
sft,oil_extraction_ban,10000,counterbalanced_abc_abstention,6,human,0.992693952915555,0,0.4493439539293632,0.006658146020342,0.9690893300267284,3,0.4993850256315695,0.0258253558835058,0.9881564846452116,3,0.0512710204390671,0.0015388089773999,0.184248816470238,0,sft
sft,oil_extraction_ban,100000,counterbalanced_abc_abstention,6,human,0.992838781111266,0,0.4282375939196336,0.0058803937823334,0.9690893300267284,3,0.5090543373811477,0.0258253558835058,0.9889301769187796,3,0.0627080686992187,0.0013874633029552,0.2058366039976515,0,sft
sft,oil_extraction_ban,1000000,counterbalanced_abc_abstention,6,human,0.9927327218974225,0,0.4193317754972719,0.0051989895241005,0.9696687460413574,3,0.5058666660217471,0.0258407967972779,0.99075203336335,3,0.0748015584809809,0.0013999243146743,0.2290047502722797,0,sft
sft,pesticide_ban,0,counterbalanced_abc_abstention,6,human,0.9947160571242696,0,0.4543780525552564,0.0522403642191317,0.8756005950630876,3,0.5116864668989677,0.1184996545350095,0.92598261204374,3,0.0339354805457758,0.0023213977786808,0.1136789820722572,0,sft
sft,pesticide_ban,1,counterbalanced_abc_abstention,6,ecological,0.9943610677435608,0,0.568662829914393,0.0830736038290885,0.9190912772653766,4,0.4049555695550099,0.0754436062295658,0.8931254101814144,2,0.0263816005305971,0.0025340159982835,0.0683177454568779,0,sft
sft,pesticide_ban,10,counterbalanced_abc_abstention,6,ecological,0.996369341069934,0,0.4998019270196368,0.0589369506210257,0.9353002501503656,3,0.461656263733868,0.0597917445782114,0.921929022941281,3,0.0385418092464951,0.0023969696548818,0.1386661084920058,0,sft
