chosen_logps,dpo_loss,id,max_abs_logp_difference,rejected_logps,reward_margin,ref_chosen_logps,ref_rejected_logps
-218.41351318359375,0.6931471824645996,q50-11,0.0,-100.70355987548828,0.0,-218.41351318359375,-100.70355987548828
-90.0743408203125,0.6931471824645996,q50-12,0.0,-105.15037536621094,0.0,-90.0743408203125,-105.15037536621094
-129.63514709472656,0.6931471824645996,q50-13,0.0,-148.29428100585938,0.0,-129.63514709472656,-148.29428100585938
-105.24093627929688,0.6931471824645996,q50-14,0.0,-165.18914794921875,0.0,-105.24093627929688,-165.18914794921875
-171.1129150390625,0.6931471824645996,q50-15,0.0,-127.67184448242188,0.0,-171.1129150390625,-127.67184448242188
-159.14630126953125,0.6931471824645996,q50-16,0.0,-146.32591247558594,0.0,-159.14630126953125,-146.32591247558594
-168.23800659179688,0.6931471824645996,q50-17,0.0,-164.86752319335938,0.0,-168.23800659179688,-164.86752319335938
-143.47573852539062,0.6931471824645996,q50-18,0.0,-191.3465576171875,0.0,-143.47573852539062,-191.3465576171875
-130.34637451171875,0.6931471824645996,q50-19,0.0,-128.8824462890625,0.0,-130.34637451171875,-128.8824462890625
-107.45623016357422,0.6931471824645996,q50-20,0.0,-187.29469299316406,0.0,-107.45623016357422,-187.29469299316406
-178.48582458496094,0.6931471824645996,q50-21,0.0,-140.93603515625,0.0,-178.48582458496094,-140.93603515625
-91.04161071777344,0.6931471824645996,q50-22,0.0,-96.48542022705078,0.0,-91.04161071777344,-96.48542022705078
-140.05718994140625,0.6931471824645996,q50-23,0.0,-134.59922790527344,0.0,-140.05718994140625,-134.59922790527344
-144.7801513671875,0.6931471824645996,q50-24,0.0,-138.54617309570312,0.0,-144.7801513671875,-138.54617309570312
-151.72613525390625,0.6931471824645996,q50-25,0.0,-156.54519653320312,0.0,-151.72613525390625,-156.54519653320312
-152.96168518066406,0.6931471824645996,q50-26,0.0,-144.37867736816406,0.0,-152.96168518066406,-144.37867736816406
-122.69173431396484,0.6931471824645996,q50-27,0.0,-137.93670654296875,0.0,-122.69173431396484,-137.93670654296875
-189.63934326171875,0.6931471824645996,q50-28,0.0,-180.29766845703125,0.0,-189.63934326171875,-180.29766845703125
-108.9118881225586,0.6931471824645996,q50-29,0.0,-103.97933959960938,0.0,-108.9118881225586,-103.97933959960938
-138.9384765625,0.6931471824645996,q50-30,0.0,-136.90603637695312,0.0,-138.9384765625,-136.90603637695312
-165.7998809814453,0.6931471824645996,q50-31,0.0,-162.9309539794922,0.0,-165.7998809814453,-162.9309539794922
-179.90614318847656,0.6931471824645996,q50-32,0.0,-150.4642791748047,0.0,-179.90614318847656,-150.4642791748047
-137.184326171875,0.6931471824645996,q50-34,0.0,-124.5169677734375,0.0,-137.184326171875,-124.5169677734375
-143.70889282226562,0.6931471824645996,q50-35,0.0,-138.6777801513672,0.0,-143.70889282226562,-138.6777801513672
-154.82186889648438,0.6931471824645996,q50-36,0.0,-84.02104187011719,0.0,-154.82186889648438,-84.02104187011719
-233.39370727539062,0.6931471824645996,q50-37,0.0,-203.34552001953125,0.0,-233.39370727539062,-203.34552001953125
-101.76699829101562,0.6931471824645996,q50-38,0.0,-135.73031616210938,0.0,-101.76699829101562,-135.73031616210938
-183.7958526611328,0.6931471824645996,q50-39,0.0,-140.8941650390625,0.0,-183.7958526611328,-140.8941650390625
-206.52200317382812,0.6931471824645996,q50-40,0.0,-127.84414672851562,0.0,-206.52200317382812,-127.84414672851562
-189.78729248046875,0.6931471824645996,q50-41,0.0,-142.8017578125,0.0,-189.78729248046875,-142.8017578125
-191.54251098632812,0.6931471824645996,q50-42,0.0,-169.0180206298828,0.0,-191.54251098632812,-169.0180206298828
-140.95217895507812,0.6931471824645996,q50-43,0.0,-139.61734008789062,0.0,-140.95217895507812,-139.61734008789062
-152.93341064453125,0.6931471824645996,q50-44,0.0,-133.658203125,0.0,-152.93341064453125,-133.658203125
-229.45632934570312,0.6931471824645996,q50-46,0.0,-156.05638122558594,0.0,-229.45632934570312,-156.05638122558594
-128.5634765625,0.6931471824645996,q50-47,0.0,-153.44729614257812,0.0,-128.5634765625,-153.44729614257812
-74.66448974609375,0.6931471824645996,q50-48,0.0,-100.94520568847656,0.0,-74.66448974609375,-100.94520568847656
-115.69548034667969,0.6931471824645996,q50-49,0.0,-140.92404174804688,0.0,-115.69548034667969,-140.92404174804688
-156.4989776611328,0.6931471824645996,q50-50,0.0,-137.82638549804688,0.0,-156.4989776611328,-137.82638549804688
-276.881103515625,0.6931471824645996,q40-1,0.0,-137.10545349121094,0.0,-276.881103515625,-137.10545349121094
-191.75164794921875,0.6931471824645996,q40-2,0.0,-166.8123779296875,0.0,-191.75164794921875,-166.8123779296875
-169.48782348632812,0.6931471824645996,q40-3,0.0,-122.63713836669922,0.0,-169.48782348632812,-122.63713836669922
-222.61764526367188,0.6931471824645996,q40-4,0.0,-162.6907958984375,0.0,-222.61764526367188,-162.6907958984375
-221.77252197265625,0.6931471824645996,q40-5,0.0,-178.06472778320312,0.0,-221.77252197265625,-178.06472778320312
-130.30470275878906,0.6931471824645996,q40-6,0.0,-138.1979522705078,0.0,-130.30470275878906,-138.1979522705078
-116.63327026367188,0.6931471824645996,q40-7,0.0,-178.84107971191406,0.0,-116.63327026367188,-178.84107971191406
-133.0301513671875,0.6931471824645996,q40-8,0.0,-140.10751342773438,0.0,-133.0301513671875,-140.10751342773438
-133.77679443359375,0.6931471824645996,q40-9,0.0,-145.83551025390625,0.0,-133.77679443359375,-145.83551025390625
-156.34597778320312,0.6931471824645996,q40-10,0.0,-166.46664428710938,0.0,-156.34597778320312,-166.46664428710938
-125.38693237304688,0.6931471824645996,q40-11,0.0,-156.18939208984375,0.0,-125.38693237304688,-156.18939208984375
-137.13241577148438,0.6931471824645996,q40-12,0.0,-123.25010681152344,0.0,-137.13241577148438,-123.25010681152344
-117.99425506591797,0.6931471824645996,q40-13,0.0,-110.16891479492188,0.0,-117.99425506591797,-110.16891479492188
-215.06878662109375,0.6931471824645996,q40-14,0.0,-160.67367553710938,0.0,-215.06878662109375,-160.67367553710938
-170.5450439453125,0.6931471824645996,q40-15,0.0,-123.0026626586914,0.0,-170.5450439453125,-123.0026626586914
-114.33053588867188,0.6931471824645996,q40-16,0.0,-150.45201110839844,0.0,-114.33053588867188,-150.45201110839844
-394.85968017578125,0.6931471824645996,q40-17,0.0,-93.19761657714844,0.0,-394.85968017578125,-93.19761657714844
-173.84085083007812,0.6931471824645996,q40-18,0.0,-151.38067626953125,0.0,-173.84085083007812,-151.38067626953125
-225.31768798828125,0.6931471824645996,q40-19,0.0,-204.0198211669922,0.0,-225.31768798828125,-204.0198211669922
-127.89667510986328,0.6931471824645996,q40-20,0.0,-133.06727600097656,0.0,-127.89667510986328,-133.06727600097656
-184.59710693359375,0.6931471824645996,q40-21,0.0,-153.57981872558594,0.0,-184.59710693359375,-153.57981872558594
-149.18136596679688,0.6931471824645996,q40-22,0.0,-140.3736572265625,0.0,-149.18136596679688,-140.3736572265625
-116.14212036132812,0.6931471824645996,q40-23,0.0,-113.4669189453125,0.0,-116.14212036132812,-113.4669189453125
-97.86062622070312,0.6931471824645996,q40-24,0.0,-166.1148681640625,0.0,-97.86062622070312,-166.1148681640625
-106.59413146972656,0.6931471824645996,q40-25,0.0,-129.59701538085938,0.0,-106.59413146972656,-129.59701538085938
-191.43785095214844,0.6931471824645996,q40-26,0.0,-116.79806518554688,0.0,-191.43785095214844,-116.79806518554688
-140.9085693359375,0.6931471824645996,q40-27,0.0,-154.75592041015625,0.0,-140.9085693359375,-154.75592041015625
-218.60922241210938,0.6931471824645996,q40-28,0.0,-148.251953125,0.0,-218.60922241210938,-148.251953125
-240.34275817871094,0.6931471824645996,q40-29,0.0,-105.69102478027344,0.0,-240.34275817871094,-105.69102478027344
-201.66513061523438,0.6931471824645996,q40-30,0.0,-193.28787231445312,0.0,-201.66513061523438,-193.28787231445312
-163.337890625,0.6931471824645996,q40-31,0.0,-158.53082275390625,0.0,-163.337890625,-158.53082275390625
-175.78781127929688,0.6931471824645996,q40-32,0.0,-153.0985870361328,0.0,-175.78781127929688,-153.0985870361328
-129.91607666015625,0.6931471824645996,q40-33,0.0,-131.78024291992188,0.0,-129.91607666015625,-131.78024291992188
-116.84261322021484,0.6931471824645996,q40-34,0.0,-175.1021270751953,0.0,-116.84261322021484,-175.1021270751953
-216.31466674804688,0.6931471824645996,q40-35,0.0,-158.945556640625,0.0,-216.31466674804688,-158.945556640625
-146.09793090820312,0.6931471824645996,q40-36,0.0,-133.27549743652344,0.0,-146.09793090820312,-133.27549743652344
-140.0236358642578,0.6931471824645996,q40-37,0.0,-103.35690307617188,0.0,-140.0236358642578,-103.35690307617188
-148.8559112548828,0.6931471824645996,q40-38,0.0,-163.26748657226562,0.0,-148.8559112548828,-163.26748657226562
-171.26820373535156,0.6931471824645996,q40-39,0.0,-128.0430908203125,0.0,-171.26820373535156,-128.0430908203125
-201.6735382080078,0.6931471824645996,q40-40,0.0,-135.04022216796875,0.0,-201.6735382080078,-135.04022216796875
