id,ref_chosen_logps_corrected,ref_rejected_logps_corrected,ref_chosen_logps_first,ref_rejected_logps_first,chosen_first_minus_corrected,rejected_first_minus_corrected,old_reference_reward_offset
q50-41,-189.78729248046875,-142.8017578125,-190.0,-143.0,-0.21270751953125,-0.1982421875,0.0014465332031250002
q50-42,-191.54251098632812,-169.0180206298828,-191.0,-169.0,0.542510986328125,0.0180206298828125,-0.05244903564453125
q50-43,-140.95217895507812,-139.61734008789062,-141.0,-140.0,-0.047821044921875,-0.382659912109375,-0.03348388671875
q50-44,-152.93341064453125,-133.658203125,-153.0,-134.0,-0.06658935546875,-0.341796875,-0.027520751953125002
q50-46,-229.45632934570312,-156.05638122558594,-229.0,-156.0,0.456329345703125,0.0563812255859375,-0.039994812011718756
q50-47,-128.5634765625,-153.44729614257812,-129.0,-153.0,-0.4365234375,0.447296142578125,0.08838195800781251
q50-48,-74.66448974609375,-100.94520568847656,-74.5,-101.0,0.16448974609375,-0.0547943115234375,-0.021928405761718752
q50-49,-115.69548034667969,-140.92404174804688,-115.5,-141.0,0.1954803466796875,-0.075958251953125,-0.02714385986328125
q50-50,-156.4989776611328,-137.82638549804688,-157.0,-138.0,-0.5010223388671875,-0.173614501953125,0.032740783691406254
q40-1,-276.881103515625,-137.10545349121094,-278.0,-137.0,-1.118896484375,0.1054534912109375,0.12243499755859376
q40-2,-191.75164794921875,-166.8123779296875,-192.0,-167.0,-0.24835205078125,-0.1876220703125,0.006072998046875
q40-3,-169.48782348632812,-122.63713836669922,-169.0,-122.5,0.487823486328125,0.13713836669921875,-0.035068511962890625
q40-4,-222.61764526367188,-162.6907958984375,-223.0,-163.0,-0.382354736328125,-0.3092041015625,0.0073150634765625005
q40-5,-221.77252197265625,-178.06472778320312,-222.0,-178.0,-0.22747802734375,0.064727783203125,0.0292205810546875
q40-6,-130.30470275878906,-138.1979522705078,-130.0,-138.0,0.3047027587890625,0.1979522705078125,-0.010675048828125
q40-7,-116.63327026367188,-178.84107971191406,-116.5,-179.0,0.133270263671875,-0.1589202880859375,-0.02921905517578125
q40-8,-133.0301513671875,-140.10751342773438,-133.0,-140.0,0.0301513671875,0.107513427734375,0.0077362060546875
q40-9,-133.77679443359375,-145.83551025390625,-134.0,-146.0,-0.22320556640625,-0.16448974609375,0.00587158203125
q40-10,-156.34597778320312,-166.46664428710938,-156.0,-167.0,0.345977783203125,-0.533355712890625,-0.087933349609375
q40-11,-125.38693237304688,-156.18939208984375,-125.5,-156.0,-0.113067626953125,0.18939208984375,0.0302459716796875
q40-12,-137.13241577148438,-123.25010681152344,-137.0,-123.0,0.132415771484375,0.2501068115234375,0.011769104003906251
q40-13,-117.99425506591797,-110.16891479492188,-118.0,-110.5,-0.00574493408203125,-0.331085205078125,-0.032534027099609376
q40-14,-215.06878662109375,-160.67367553710938,-215.0,-161.0,0.06878662109375,-0.326324462890625,-0.0395111083984375
q40-15,-170.5450439453125,-123.0026626586914,-170.0,-123.0,0.5450439453125,0.00266265869140625,-0.05423812866210938
q40-16,-114.33053588867188,-150.45201110839844,-114.5,-150.0,-0.169464111328125,0.4520111083984375,0.06214752197265625
q40-17,-394.85968017578125,-93.19761657714844,-394.0,-93.0,0.85968017578125,0.1976165771484375,-0.06620635986328126
q40-18,-173.84085083007812,-151.38067626953125,-174.0,-151.0,-0.159149169921875,0.38067626953125,0.0539825439453125
q40-19,-225.31768798828125,-204.0198211669922,-225.0,-204.0,0.31768798828125,0.0198211669921875,-0.029786682128906252
q40-20,-127.89667510986328,-133.06727600097656,-128.0,-133.0,-0.10332489013671875,0.0672760009765625,0.017060089111328124
q40-21,-184.59710693359375,-153.57981872558594,-185.0,-154.0,-0.40289306640625,-0.4201812744140625,-0.0017288208007812502
q40-22,-149.18136596679688,-140.3736572265625,-149.0,-140.0,0.181365966796875,0.3736572265625,0.0192291259765625
q40-23,-116.14212036132812,-113.4669189453125,-116.0,-113.5,0.142120361328125,-0.0330810546875,-0.0175201416015625
q40-24,-97.86062622070312,-166.1148681640625,-98.0,-166.0,-0.139373779296875,0.1148681640625,0.0254241943359375
q40-25,-106.59413146972656,-129.59701538085938,-106.5,-130.0,0.0941314697265625,-0.402984619140625,-0.04971160888671875
q40-26,-191.43785095214844,-116.79806518554688,-191.0,-116.5,0.4378509521484375,0.298065185546875,-0.01397857666015625
q40-27,-140.9085693359375,-154.75592041015625,-141.0,-155.0,-0.0914306640625,-0.24407958984375,-0.015264892578125001
q40-28,-218.60922241210938,-148.251953125,-219.0,-148.0,-0.390777587890625,0.251953125,0.0642730712890625
q40-29,-240.34275817871094,-105.69102478027344,-240.0,-105.5,0.3427581787109375,0.1910247802734375,-0.015173339843750001
q40-30,-201.66513061523438,-193.28787231445312,-202.0,-193.0,-0.334869384765625,0.287872314453125,0.062274169921875004
q40-31,-163.337890625,-158.53082275390625,-163.0,-159.0,0.337890625,-0.46917724609375,-0.08070678710937501
q40-32,-175.78781127929688,-153.0985870361328,-176.0,-153.0,-0.212188720703125,0.0985870361328125,0.03107757568359375
q40-33,-129.91607666015625,-131.78024291992188,-130.0,-132.0,-0.08392333984375,-0.219757080078125,-0.0135833740234375
q40-34,-116.84261322021484,-175.1021270751953,-117.0,-175.0,-0.15738677978515625,0.1021270751953125,0.025951385498046875
q40-35,-216.31466674804688,-158.945556640625,-216.0,-159.0,0.314666748046875,-0.054443359375,-0.0369110107421875
q40-36,-146.09793090820312,-133.27549743652344,-146.0,-133.0,0.097930908203125,0.2754974365234375,0.01775665283203125
q40-37,-140.0236358642578,-103.35690307617188,-140.0,-103.5,0.0236358642578125,-0.143096923828125,-0.01667327880859375
q40-38,-148.8559112548828,-163.26748657226562,-149.0,-163.0,-0.1440887451171875,0.267486572265625,0.04115753173828125
q40-39,-171.26820373535156,-128.0430908203125,-171.0,-128.0,0.2682037353515625,0.0430908203125,-0.022511291503906253
q40-40,-201.6735382080078,-135.04022216796875,-202.0,-135.0,-0.3264617919921875,0.04022216796875,0.03666839599609375
