model,readout_type,template_family,cost_count,margin,ecological_choice
llama_instruct,counterbalanced_ab,wildfire_restoration,10,1.3125,1
llama_instruct,counterbalanced_ab,wildfire_restoration,100,1.0625,1
llama_instruct,counterbalanced_ab,wildfire_restoration,1000,0.875,1
llama_instruct,counterbalanced_ab,wildfire_restoration,10000,0.4375,1
llama_instruct,counterbalanced_ab,wildfire_restoration,100000,0.375,1
llama_instruct,counterbalanced_ab,wildfire_restoration,1000000,0.125,1
authors_baseline,complete_option_text,dam_removal,0,-0.0174543062845866,0
authors_baseline,complete_option_text,dam_removal,1,-0.030909697214762402,0
authors_baseline,complete_option_text,dam_removal,10,-0.04295778274536135,0
authors_baseline,complete_option_text,dam_removal,100,-0.0582015514373779,0
authors_baseline,complete_option_text,dam_removal,1000,-0.05798228581746415,0
authors_baseline,complete_option_text,dam_removal,10000,-0.058307409286499,0
authors_baseline,complete_option_text,dam_removal,100000,-0.07227762540181475,0
authors_baseline,complete_option_text,dam_removal,1000000,-0.05955322583516435,0
authors_baseline,complete_option_text,island_biosecurity,0,0.37077273641313824,1
authors_baseline,complete_option_text,island_biosecurity,1,0.3712957927158901,1
authors_baseline,complete_option_text,island_biosecurity,10,0.3625999689102173,1
authors_baseline,complete_option_text,island_biosecurity,100,0.3467786141804286,1
authors_baseline,complete_option_text,island_biosecurity,1000,0.34741897242409836,1
authors_baseline,complete_option_text,island_biosecurity,10000,0.3394556045532226,1
authors_baseline,complete_option_text,island_biosecurity,100000,0.3313260929925101,1
authors_baseline,complete_option_text,island_biosecurity,1000000,0.31525155476161404,1
authors_baseline,complete_option_text,marine_reserve,0,0.29243416256374777,1
authors_baseline,complete_option_text,marine_reserve,1,0.2990704642401801,1
authors_baseline,complete_option_text,marine_reserve,10,0.28599516550699866,1
authors_baseline,complete_option_text,marine_reserve,100,0.27798567877875435,1
authors_baseline,complete_option_text,marine_reserve,1000,0.27214272816975904,1
authors_baseline,complete_option_text,marine_reserve,10000,0.2705019844902886,1
authors_baseline,complete_option_text,marine_reserve,100000,0.26418357425265837,1
authors_baseline,complete_option_text,marine_reserve,1000000,0.2571428087022569,1
authors_baseline,complete_option_text,oil_extraction_ban,0,0.09407815479096905,1
authors_baseline,complete_option_text,oil_extraction_ban,1,0.0553416978745234,1
authors_baseline,complete_option_text,oil_extraction_ban,10,0.04521799087524415,1
authors_baseline,complete_option_text,oil_extraction_ban,100,0.046225048246837805,1
authors_baseline,complete_option_text,oil_extraction_ban,1000,0.026137760707310248,1
authors_baseline,complete_option_text,oil_extraction_ban,10000,0.04540870303199405,1
authors_baseline,complete_option_text,oil_extraction_ban,100000,0.03535799753098259,1
authors_baseline,complete_option_text,oil_extraction_ban,1000000,0.025502999623616553,1
authors_baseline,complete_option_text,pesticide_ban,0,0.3432382583618163,1
authors_baseline,complete_option_text,pesticide_ban,1,0.3312148775373186,1
authors_baseline,complete_option_text,pesticide_ban,10,0.3090120588030133,1
authors_baseline,complete_option_text,pesticide_ban,100,0.3210195813860212,1
authors_baseline,complete_option_text,pesticide_ban,1000,0.3208372933523995,1
authors_baseline,complete_option_text,pesticide_ban,10000,0.3104569298880441,1
authors_baseline,complete_option_text,pesticide_ban,100000,0.307696178981236,1
authors_baseline,complete_option_text,pesticide_ban,1000000,0.29841433933803013,1
authors_baseline,complete_option_text,river_water_allocation,0,0.15317318656227805,1
authors_baseline,complete_option_text,river_water_allocation,1,0.12436017123135645,1
authors_baseline,complete_option_text,river_water_allocation,10,0.12489301508123221,1
authors_baseline,complete_option_text,river_water_allocation,100,0.12994575500488276,1
authors_baseline,complete_option_text,river_water_allocation,1000,0.1017317338423295,1
authors_baseline,complete_option_text,river_water_allocation,10000,0.09032682939009229,1
authors_baseline,complete_option_text,river_water_allocation,100000,0.0900426344438032,1
authors_baseline,complete_option_text,river_water_allocation,1000000,0.0902578180486505,1
authors_baseline,complete_option_text,wetland_relocation,0,0.24108766184912783,1
authors_baseline,complete_option_text,wetland_relocation,1,0.2256733973821004,1
authors_baseline,complete_option_text,wetland_relocation,10,0.2174652152591281,1
authors_baseline,complete_option_text,wetland_relocation,100,0.2100453244315253,1
authors_baseline,complete_option_text,wetland_relocation,1000,0.21022197935316295,1
authors_baseline,complete_option_text,wetland_relocation,10000,0.21053338050842285,1
authors_baseline,complete_option_text,wetland_relocation,100000,0.20363179842631018,1
authors_baseline,complete_option_text,wetland_relocation,1000000,0.21061596605512828,1
authors_baseline,complete_option_text,wildfire_restoration,0,0.11502758661905921,1
authors_baseline,complete_option_text,wildfire_restoration,1,0.05180120468139645,1
authors_baseline,complete_option_text,wildfire_restoration,10,0.0209070841471354,1
authors_baseline,complete_option_text,wildfire_restoration,100,0.00970824559529625,1
authors_baseline,complete_option_text,wildfire_restoration,1000,-5.118052164715045e-05,0
authors_baseline,complete_option_text,wildfire_restoration,10000,-7.073084513345082e-05,0
authors_baseline,complete_option_text,wildfire_restoration,100000,-0.010939280192057301,0
authors_baseline,complete_option_text,wildfire_restoration,1000000,-0.03265937169392895,0
authors_baseline,counterbalanced_ab,dam_removal,0,0.5625,1
authors_baseline,counterbalanced_ab,dam_removal,1,0.5,1
authors_baseline,counterbalanced_ab,dam_removal,10,0.4375,1
authors_baseline,counterbalanced_ab,dam_removal,100,0.4375,1
authors_baseline,counterbalanced_ab,dam_removal,1000,0.375,1
authors_baseline,counterbalanced_ab,dam_removal,10000,0.375,1
authors_baseline,counterbalanced_ab,dam_removal,100000,0.4375,1
authors_baseline,counterbalanced_ab,dam_removal,1000000,0.3125,1
authors_baseline,counterbalanced_ab,island_biosecurity,0,2.125,1
authors_baseline,counterbalanced_ab,island_biosecurity,1,2.125,1
authors_baseline,counterbalanced_ab,island_biosecurity,10,2.125,1
authors_baseline,counterbalanced_ab,island_biosecurity,100,2.0,1
authors_baseline,counterbalanced_ab,island_biosecurity,1000,2.0,1
authors_baseline,counterbalanced_ab,island_biosecurity,10000,2.0,1
authors_baseline,counterbalanced_ab,island_biosecurity,100000,1.9375,1
authors_baseline,counterbalanced_ab,island_biosecurity,1000000,1.75,1
authors_baseline,counterbalanced_ab,marine_reserve,0,1.875,1
authors_baseline,counterbalanced_ab,marine_reserve,1,1.875,1
authors_baseline,counterbalanced_ab,marine_reserve,10,1.75,1
authors_baseline,counterbalanced_ab,marine_reserve,100,1.8125,1
authors_baseline,counterbalanced_ab,marine_reserve,1000,1.75,1
authors_baseline,counterbalanced_ab,marine_reserve,10000,1.6875,1
authors_baseline,counterbalanced_ab,marine_reserve,100000,1.75,1
authors_baseline,counterbalanced_ab,marine_reserve,1000000,1.6875,1
authors_baseline,counterbalanced_ab,oil_extraction_ban,0,0.8125,1
authors_baseline,counterbalanced_ab,oil_extraction_ban,1,0.6875,1
authors_baseline,counterbalanced_ab,oil_extraction_ban,10,0.625,1
authors_baseline,counterbalanced_ab,oil_extraction_ban,100,0.625,1
authors_baseline,counterbalanced_ab,oil_extraction_ban,1000,0.5625,1
authors_baseline,counterbalanced_ab,oil_extraction_ban,10000,0.5625,1
authors_baseline,counterbalanced_ab,oil_extraction_ban,100000,0.5625,1
authors_baseline,counterbalanced_ab,oil_extraction_ban,1000000,0.5625,1
authors_baseline,counterbalanced_ab,pesticide_ban,0,1.25,1
authors_baseline,counterbalanced_ab,pesticide_ban,1,1.0,1
authors_baseline,counterbalanced_ab,pesticide_ban,10,0.9375,1
authors_baseline,counterbalanced_ab,pesticide_ban,100,1.0,1
authors_baseline,counterbalanced_ab,pesticide_ban,1000,1.0625,1
authors_baseline,counterbalanced_ab,pesticide_ban,10000,1.0625,1
authors_baseline,counterbalanced_ab,pesticide_ban,100000,1.125,1
authors_baseline,counterbalanced_ab,pesticide_ban,1000000,1.0625,1
authors_baseline,counterbalanced_ab,river_water_allocation,0,1.875,1
authors_baseline,counterbalanced_ab,river_water_allocation,1,1.75,1
authors_baseline,counterbalanced_ab,river_water_allocation,10,1.625,1
authors_baseline,counterbalanced_ab,river_water_allocation,100,1.625,1
authors_baseline,counterbalanced_ab,river_water_allocation,1000,1.6875,1
authors_baseline,counterbalanced_ab,river_water_allocation,10000,1.5625,1
authors_baseline,counterbalanced_ab,river_water_allocation,100000,1.5625,1
authors_baseline,counterbalanced_ab,river_water_allocation,1000000,1.4375,1
authors_baseline,counterbalanced_ab,wetland_relocation,0,1.5625,1
authors_baseline,counterbalanced_ab,wetland_relocation,1,1.4375,1
authors_baseline,counterbalanced_ab,wetland_relocation,10,1.4375,1
authors_baseline,counterbalanced_ab,wetland_relocation,100,1.375,1
authors_baseline,counterbalanced_ab,wetland_relocation,1000,1.375,1
authors_baseline,counterbalanced_ab,wetland_relocation,10000,1.3125,1
authors_baseline,counterbalanced_ab,wetland_relocation,100000,1.3125,1
authors_baseline,counterbalanced_ab,wetland_relocation,1000000,1.3125,1
authors_baseline,counterbalanced_ab,wildfire_restoration,0,1.3125,1
authors_baseline,counterbalanced_ab,wildfire_restoration,1,1.0,1
authors_baseline,counterbalanced_ab,wildfire_restoration,10,0.875,1
authors_baseline,counterbalanced_ab,wildfire_restoration,100,0.875,1
authors_baseline,counterbalanced_ab,wildfire_restoration,1000,0.75,1
authors_baseline,counterbalanced_ab,wildfire_restoration,10000,0.75,1
authors_baseline,counterbalanced_ab,wildfire_restoration,100000,0.6875,1
authors_baseline,counterbalanced_ab,wildfire_restoration,1000000,0.625,1
qwen3_8b,complete_option_text,dam_removal,0,-4.497014363606771,0
qwen3_8b,complete_option_text,dam_removal,1,-2.82424259185791,0
qwen3_8b,complete_option_text,dam_removal,10,-3.408112208048503,0
qwen3_8b,complete_option_text,dam_removal,100,-3.939672152201335,0
qwen3_8b,complete_option_text,dam_removal,1000,-4.315437316894531,0
qwen3_8b,complete_option_text,dam_removal,10000,-4.813532829284668,0
qwen3_8b,complete_option_text,dam_removal,100000,-4.990829149881998,0
qwen3_8b,complete_option_text,dam_removal,1000000,-5.032196521759033,0
qwen3_8b,complete_option_text,island_biosecurity,0,2.988219772066389,1
qwen3_8b,complete_option_text,island_biosecurity,1,3.0796580995832175,1
qwen3_8b,complete_option_text,island_biosecurity,10,3.280622686658587,1
qwen3_8b,complete_option_text,island_biosecurity,100,3.2152838366372247,1
qwen3_8b,complete_option_text,island_biosecurity,1000,3.122938122068133,1
qwen3_8b,complete_option_text,island_biosecurity,10000,2.5160258156912665,1
qwen3_8b,complete_option_text,island_biosecurity,100000,1.8938321386064803,1
qwen3_8b,complete_option_text,island_biosecurity,1000000,1.2879190104348317,1
qwen3_8b,complete_option_text,marine_reserve,0,1.430554919772678,1
qwen3_8b,complete_option_text,marine_reserve,1,1.7569435967339408,1
qwen3_8b,complete_option_text,marine_reserve,10,1.388888465033637,1
qwen3_8b,complete_option_text,marine_reserve,100,1.1527771419949002,1
qwen3_8b,complete_option_text,marine_reserve,1000,0.7361106872558595,1
qwen3_8b,complete_option_text,marine_reserve,10000,0.44444380866156696,1
qwen3_8b,complete_option_text,marine_reserve,100000,0.24999936421712243,1
qwen3_8b,complete_option_text,marine_reserve,1000000,0.2361104753282336,1
qwen3_8b,complete_option_text,oil_extraction_ban,0,0.8578568413144065,1
qwen3_8b,complete_option_text,oil_extraction_ban,1,-0.48402427491687594,0
qwen3_8b,complete_option_text,oil_extraction_ban,10,-1.2771625518798828,0
qwen3_8b,complete_option_text,oil_extraction_ban,100,-1.7038328534080869,0
qwen3_8b,complete_option_text,oil_extraction_ban,1000,-1.8844370614914665,0
qwen3_8b,complete_option_text,oil_extraction_ban,10000,-2.4410594758533297,0
qwen3_8b,complete_option_text,oil_extraction_ban,100000,-2.95585754939488,0
qwen3_8b,complete_option_text,oil_extraction_ban,1000000,-2.8373573394048783,0
qwen3_8b,complete_option_text,pesticide_ban,0,-1.2770010811941963,0
qwen3_8b,complete_option_text,pesticide_ban,1,0.04849384852818095,1
qwen3_8b,complete_option_text,pesticide_ban,10,-0.460170909336635,0
qwen3_8b,complete_option_text,pesticide_ban,100,-0.7181590488978794,0
qwen3_8b,complete_option_text,pesticide_ban,1000,-0.8613776070731027,0
qwen3_8b,complete_option_text,pesticide_ban,10000,-1.2336565835135322,0
qwen3_8b,complete_option_text,pesticide_ban,100000,-1.3666720254080635,0
qwen3_8b,complete_option_text,pesticide_ban,1000000,-1.3803431374686106,0
qwen3_8b,complete_option_text,river_water_allocation,0,1.0624996532093394,1
qwen3_8b,complete_option_text,river_water_allocation,1,0.46590891751376073,1
qwen3_8b,complete_option_text,river_water_allocation,10,-0.4545454545454546,0
qwen3_8b,complete_option_text,river_water_allocation,100,-0.7727272727272727,0
qwen3_8b,complete_option_text,river_water_allocation,1000,-1.3181818181818183,0
qwen3_8b,complete_option_text,river_water_allocation,10000,-1.7159090909090908,0
qwen3_8b,complete_option_text,river_water_allocation,100000,-1.7386363636363635,0
qwen3_8b,complete_option_text,river_water_allocation,1000000,-1.835227272727273,0
qwen3_8b,complete_option_text,wetland_relocation,0,1.595306052101983,1
qwen3_8b,complete_option_text,wetland_relocation,1,-1.0867688655853271,0
qwen3_8b,complete_option_text,wetland_relocation,10,-1.3488594161139595,0
qwen3_8b,complete_option_text,wetland_relocation,100,-1.4859500726064045,0
qwen3_8b,complete_option_text,wetland_relocation,1000,-1.5778604878319635,0
qwen3_8b,complete_option_text,wetland_relocation,10000,-1.6544153690338135,0
qwen3_8b,complete_option_text,wetland_relocation,100000,-1.7637624210781522,0
qwen3_8b,complete_option_text,wetland_relocation,1000000,-1.925249285168118,0
qwen3_8b,complete_option_text,wildfire_restoration,0,2.0416666666666665,1
qwen3_8b,complete_option_text,wildfire_restoration,1,-0.875,0
qwen3_8b,complete_option_text,wildfire_restoration,10,-1.791666666666667,0
qwen3_8b,complete_option_text,wildfire_restoration,100,-2.416666666666667,0
qwen3_8b,complete_option_text,wildfire_restoration,1000,-2.7708330154418945,0
qwen3_8b,complete_option_text,wildfire_restoration,10000,-3.25,0
qwen3_8b,complete_option_text,wildfire_restoration,100000,-3.520833333333333,0
qwen3_8b,complete_option_text,wildfire_restoration,1000000,-3.5625,0
qwen3_8b,counterbalanced_ab,dam_removal,0,-13.75,0
qwen3_8b,counterbalanced_ab,dam_removal,1,-7.625,0
qwen3_8b,counterbalanced_ab,dam_removal,10,-12.25,0
qwen3_8b,counterbalanced_ab,dam_removal,100,-15.25,0
qwen3_8b,counterbalanced_ab,dam_removal,1000,-16.875,0
qwen3_8b,counterbalanced_ab,dam_removal,10000,-18.0,0
qwen3_8b,counterbalanced_ab,dam_removal,100000,-18.125,0
qwen3_8b,counterbalanced_ab,dam_removal,1000000,-18.375,0
qwen3_8b,counterbalanced_ab,island_biosecurity,0,20.125,1
qwen3_8b,counterbalanced_ab,island_biosecurity,1,18.0,1
qwen3_8b,counterbalanced_ab,island_biosecurity,10,20.0,1
qwen3_8b,counterbalanced_ab,island_biosecurity,100,19.375,1
qwen3_8b,counterbalanced_ab,island_biosecurity,1000,18.75,1
qwen3_8b,counterbalanced_ab,island_biosecurity,10000,16.875,1
qwen3_8b,counterbalanced_ab,island_biosecurity,100000,14.5,1
qwen3_8b,counterbalanced_ab,island_biosecurity,1000000,12.125,1
qwen3_8b,counterbalanced_ab,marine_reserve,0,15.25,1
qwen3_8b,counterbalanced_ab,marine_reserve,1,15.75,1
qwen3_8b,counterbalanced_ab,marine_reserve,10,13.375,1
qwen3_8b,counterbalanced_ab,marine_reserve,100,11.75,1
qwen3_8b,counterbalanced_ab,marine_reserve,1000,7.25,1
qwen3_8b,counterbalanced_ab,marine_reserve,10000,3.375,1
qwen3_8b,counterbalanced_ab,marine_reserve,100000,1.625,1
qwen3_8b,counterbalanced_ab,marine_reserve,1000000,1.625,1
qwen3_8b,counterbalanced_ab,oil_extraction_ban,0,14.0,1
qwen3_8b,counterbalanced_ab,oil_extraction_ban,1,4.875,1
qwen3_8b,counterbalanced_ab,oil_extraction_ban,10,0.75,1
qwen3_8b,counterbalanced_ab,oil_extraction_ban,100,-1.75,0
qwen3_8b,counterbalanced_ab,oil_extraction_ban,1000,-3.625,0
qwen3_8b,counterbalanced_ab,oil_extraction_ban,10000,-5.0,0
qwen3_8b,counterbalanced_ab,oil_extraction_ban,100000,-5.125,0
qwen3_8b,counterbalanced_ab,oil_extraction_ban,1000000,-5.25,0
qwen3_8b,counterbalanced_ab,pesticide_ban,0,0.375,1
qwen3_8b,counterbalanced_ab,pesticide_ban,1,1.375,1
qwen3_8b,counterbalanced_ab,pesticide_ban,10,2.0,1
qwen3_8b,counterbalanced_ab,pesticide_ban,100,2.125,1
qwen3_8b,counterbalanced_ab,pesticide_ban,1000,0.75,1
qwen3_8b,counterbalanced_ab,pesticide_ban,10000,-1.0,0
qwen3_8b,counterbalanced_ab,pesticide_ban,100000,-2.375,0
qwen3_8b,counterbalanced_ab,pesticide_ban,1000000,-3.875,0
qwen3_8b,counterbalanced_ab,river_water_allocation,0,15.125,1
qwen3_8b,counterbalanced_ab,river_water_allocation,1,11.0,1
qwen3_8b,counterbalanced_ab,river_water_allocation,10,6.375,1
qwen3_8b,counterbalanced_ab,river_water_allocation,100,4.375,1
qwen3_8b,counterbalanced_ab,river_water_allocation,1000,0.375,1
qwen3_8b,counterbalanced_ab,river_water_allocation,10000,-4.0,0
qwen3_8b,counterbalanced_ab,river_water_allocation,100000,-5.5,0
qwen3_8b,counterbalanced_ab,river_water_allocation,1000000,-5.25,0
qwen3_8b,counterbalanced_ab,wetland_relocation,0,13.75,1
qwen3_8b,counterbalanced_ab,wetland_relocation,1,-5.75,0
qwen3_8b,counterbalanced_ab,wetland_relocation,10,-7.0,0
qwen3_8b,counterbalanced_ab,wetland_relocation,100,-8.125,0
qwen3_8b,counterbalanced_ab,wetland_relocation,1000,-9.5,0
qwen3_8b,counterbalanced_ab,wetland_relocation,10000,-10.75,0
qwen3_8b,counterbalanced_ab,wetland_relocation,100000,-10.5,0
qwen3_8b,counterbalanced_ab,wetland_relocation,1000000,-10.625,0
qwen3_8b,counterbalanced_ab,wildfire_restoration,0,11.0,1
qwen3_8b,counterbalanced_ab,wildfire_restoration,1,-5.875,0
qwen3_8b,counterbalanced_ab,wildfire_restoration,10,-9.0,0
qwen3_8b,counterbalanced_ab,wildfire_restoration,100,-12.875,0
qwen3_8b,counterbalanced_ab,wildfire_restoration,1000,-14.375,0
qwen3_8b,counterbalanced_ab,wildfire_restoration,10000,-16.5,0
qwen3_8b,counterbalanced_ab,wildfire_restoration,100000,-17.125,0
qwen3_8b,counterbalanced_ab,wildfire_restoration,1000000,-17.625,0
msm,complete_option_text,dam_removal,0,0.15146001180013016,1
msm,complete_option_text,dam_removal,1,0.16195090611775714,1
msm,complete_option_text,dam_removal,10,0.13882827758789054,1
msm,complete_option_text,dam_removal,100,0.1384221712748209,1
msm,complete_option_text,dam_removal,1000,0.13919552167256666,1
msm,complete_option_text,dam_removal,10000,0.12613264719645179,1
msm,complete_option_text,dam_removal,100000,0.13902902603149409,1
msm,complete_option_text,dam_removal,1000000,0.11474267641703281,1
msm,complete_option_text,island_biosecurity,0,0.4009679726191929,1
msm,complete_option_text,island_biosecurity,1,0.3930087430136544,1
msm,complete_option_text,island_biosecurity,10,0.3850133759634835,1
msm,complete_option_text,island_biosecurity,100,0.3693477085658482,1
msm,complete_option_text,island_biosecurity,1000,0.3530086619513375,1
